date,open
2014/4/10,36.7
2014/4/11,34.1
2014/4/14,34
2014/4/15,33.52
2014/4/16,34.17
2014/4/17,35.5
2014/4/21,35.08
2014/4/22,35.76
2014/4/23,37.14
2014/4/24,37.84
2014/4/25,37
2014/4/28,36.41
2014/4/29,35.2
2014/4/30,35.68
2014/5/1,35.86
2014/5/2,36.27
2014/5/5,36.08
2014/5/6,37.14
2014/5/7,36.53
2014/5/8,37.25
2014/5/9,37.96
2014/5/12,38.35
2014/5/13,38.95
2014/5/14,39.08
2014/5/15,38.55
2014/5/16,38.01
2014/5/19,38.49
2014/5/20,38.54
2014/5/21,38.28
2014/5/22,38.3
2014/5/23,38.53
2014/5/27,39.38
2014/5/28,39.4
2014/5/29,39.89
2014/5/30,39.83
2014/6/2,40
2014/6/3,41.13
2014/6/4,41.36
2014/6/5,43
2014/6/6,42.45
2014/6/9,44
2014/6/10,43.5
2014/6/11,42.9
2014/6/12,41.27
2014/6/13,40.25
2014/6/16,39.68
2014/6/17,41.08
2014/6/18,41.93
2014/6/19,42.82
2014/6/20,43.04
2014/6/23,44.3
2014/6/24,44.14
2014/6/25,42.9
2014/6/26,43.96
2014/6/27,44.3
2014/6/30,44.04
2014/7/1,43.44
2014/7/2,42.89
2014/7/3,42.61
2014/7/7,41.72
2014/7/8,39.14
2014/7/9,42.08
2014/7/10,41
2014/7/11,42.91
2014/7/14,43.26
2014/7/15,43.33
2014/7/16,44
2014/7/17,43.04
2014/7/18,42.23
2014/7/21,42.91
2014/7/22,42.7
2014/7/23,42.72
2014/7/24,42.5
2014/7/25,42.25
2014/7/28,41.87
2014/7/29,40.65
2014/7/30,39.9
2014/7/31,38.9
2014/8/1,38.75
2014/8/4,39.49
2014/8/5,37.89
2014/8/6,36.56
2014/8/7,37.7
2014/8/8,36.56
2014/8/11,37.79
2014/8/12,38.14
2014/8/13,37.64
2014/8/14,38.5
2014/8/15,39.98
2014/8/18,39.6
2014/8/19,40.96
2014/8/20,40.4
2014/8/21,40.75
2014/8/22,39.6
2014/8/25,40.23
2014/8/26,39.55
2014/8/27,39.36
2014/8/28,38.71
2014/8/29,39.1
2014/9/2,39
2014/9/3,39.73
2014/9/4,39.37
2014/9/5,38.51
2014/9/8,37.96
2014/9/9,37.63
2014/9/10,37.93
2014/9/11,38.73
2014/9/12,38.09
2014/9/15,37.6
2014/9/16,37
2014/9/17,37.92
2014/9/18,37.7
2014/9/19,38.06
2014/9/22,37
2014/9/23,35.04
2014/9/24,35.47
2014/9/25,35.88
2014/9/26,35.25
2014/9/29,35.35
2014/9/30,35.05
2014/10/1,34.72
2014/10/2,34.47
2014/10/3,34.66
2014/10/6,36.31
2014/10/7,34.75
2014/10/8,34.53
2014/10/9,33.5
2014/10/10,31.55
2014/10/13,31.07
2014/10/14,29.29
2014/10/15,30.22
2014/10/16,30.63
2014/10/17,33.88
2014/10/20,34.19
2014/10/21,36.14
2014/10/22,38.05
2014/10/23,37.43
2014/10/24,38.6
2014/10/27,39.6
2014/10/28,40.11
2014/10/29,40.07
2014/10/30,39.91
2014/10/31,41.1
2014/11/3,41.44
2014/11/4,42.83
2014/11/5,43.32
2014/11/6,42.59
2014/11/7,43.14
2014/11/10,42.5
2014/11/11,44
2014/11/12,43.25
2014/11/13,43.54
2014/11/14,44
2014/11/17,43.97
2014/11/18,43.755
2014/11/19,44.83
2014/11/20,43.65
2014/11/21,44.38
2014/11/24,43.72
2014/11/25,43.18
2014/11/26,44.31
2014/11/28,47
2014/12/1,49
2014/12/2,48.12
2014/12/3,47.74
2014/12/4,49.6
2014/12/5,50.09
2014/12/8,50.44
2014/12/9,49.1
2014/12/10,49.8
2014/12/11,49.8
2014/12/12,51.675
2014/12/15,50.21
2014/12/16,51.01
2014/12/17,48.26
2014/12/18,48.56
2014/12/19,49.67
2014/12/22,51.1
2014/12/23,50.95
2014/12/24,50.66
2014/12/26,51.46
2014/12/29,51.65
2014/12/30,53
2014/12/31,53.9
2015/1/2,54.28
2015/1/5,54.37
2015/1/6,54.27
2015/1/7,53.38
2015/1/8,53.48
2015/1/9,53.67
2015/1/12,51.06
2015/1/13,50.12
2015/1/14,49.41
2015/1/15,49.135
2015/1/16,49.38
2015/1/20,51
2015/1/21,52.65
2015/1/22,54.52
2015/1/23,55.4
2015/1/26,55.89
2015/1/27,53.99
2015/1/28,52.79
2015/1/29,51.045
2015/1/30,52.02
2015/2/2,48.58
2015/2/3,47.3
2015/2/4,48.62
2015/2/5,49.46
2015/2/6,48.84
2015/2/9,46.41
2015/2/10,47.4
2015/2/11,48.79
2015/2/12,46.75
2015/2/13,47.53
2015/2/17,48.77
2015/2/18,48.6
2015/2/19,50.78
2015/2/20,49.81
2015/2/23,51.75
2015/2/24,50.29
2015/2/25,51.3
2015/2/26,50.38
2015/2/27,49
2015/3/2,48.2
2015/3/3,47.9
2015/3/4,48.85
2015/3/5,49.19
2015/3/6,48.33
2015/3/9,48.05
2015/3/10,47.5
2015/3/11,46.9
2015/3/12,47.57
2015/3/13,48.75
2015/3/16,49.77
2015/3/17,52.63
2015/3/18,53.69
2015/3/19,54.57
2015/3/20,55.19
2015/3/23,55.47
2015/3/24,54.04
2015/3/25,53.62
2015/3/26,50.84
2015/3/27,51.38
2015/3/30,53.24
2015/3/31,53.66
2015/4/1,51.1
2015/4/2,50.48
2015/4/6,48.35
2015/4/7,48.3
2015/4/8,47.8
2015/4/9,48.86
2015/4/10,48.16
2015/4/13,47.47
2015/4/14,47.49
2015/4/15,48
2015/4/16,47.81
2015/4/17,47.96
2015/4/20,48.61
2015/4/21,50
2015/4/22,51.4
2015/4/23,51.07
2015/4/24,51.98
2015/4/27,52.68
2015/4/28,51.7
2015/4/29,50.58
2015/4/30,48.5
2015/5/1,48.65
2015/5/4,49.41
2015/5/5,48.21
2015/5/6,46.78
2015/5/7,47.4
2015/5/8,49.23
2015/5/11,49
2015/5/12,49.11
2015/5/13,49.27
2015/5/14,48.94
2015/5/15,49.41
2015/5/18,48.56
2015/5/19,49.45
2015/5/20,47.56
2015/5/21,43.19
2015/5/22,42.7
2015/5/26,43.05
2015/5/27,41.65
2015/5/28,42.25
2015/5/29,41.68
2015/6/1,42.61
2015/6/2,43.3
2015/6/3,43.35
2015/6/4,43.05
2015/6/5,42.13
2015/6/8,41.07
2015/6/9,38.8
2015/6/10,40.21
2015/6/11,40.79
2015/6/12,39.84
2015/6/15,40.35
2015/6/16,40.13
2015/6/17,39.27
2015/6/18,39.8
2015/6/19,40.3
2015/6/22,42.92
2015/6/23,42.98
2015/6/24,42.7
2015/6/25,42.65
2015/6/26,42.44
2015/6/29,40.77
2015/6/30,40.2
2015/7/1,40.65
2015/7/2,39.02
2015/7/6,39.09
2015/7/7,39.93
2015/7/8,40.3
2015/7/9,39.84
2015/7/10,40.51
2015/7/13,41.96
2015/7/14,42.04
2015/7/15,41.39
2015/7/16,41.81
2015/7/17,41.45
2015/7/20,41.55
2015/7/21,40.5
2015/7/22,40.96
2015/7/23,42.78
2015/7/24,43
2015/7/27,39.63
2015/7/28,40.18
2015/7/29,41.09
2015/7/30,40.58
2015/7/31,40.53
2015/8/3,40.24
2015/8/4,42.15
2015/8/5,42.85
2015/8/6,43.25
2015/8/7,42.21
2015/8/10,41.75
2015/8/11,41.74
2015/8/12,42.37
2015/8/13,42.76
2015/8/14,42.35
2015/8/17,42.96
2015/8/18,44.06
2015/8/19,43.53
2015/8/20,42.84
2015/8/21,41.4
2015/8/24,36
2015/8/25,39.39
2015/8/26,38.77
2015/8/27,39.17
2015/8/28,38.93
2015/8/31,38.63
2015/9/1,38.63
2015/9/2,40
2015/9/3,41.84
